IMAGE_ID,RAW_TEXT,PREDICTED_SKUs1,PREDICTED_SKUs2,PREDICTED_SKUs3,PREDICTED_SKUs4,PREDICTED_SKUs5,PREDICTED_SKUs6,PREDICTED_SKUs7,PREDICTED_SKUs8,PREDICTED_SKUs9,PREDICTED_SKUs10
00PdP000003m4ilUAA_Image_Response_a0Z4H00000axbULUAY,DDF | ONLINE | SB | - - | - | - - - | Smoking | Marlboro | kills | edge | less smell | Smoki | Marlboro | kills | edge | less smell | Smoking | MARLBORO | KIP | Edge | 200's | ed | le | AED 139 | USD 38.61 | www.dubaidutyfree.com | seriously harms | MART | SEAL | Mantboro | you and others | around you | silver blue | less | smell | AED | 139 | USD | 38.61 | seriously | harms | you | and | others | around | silver | blue,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001nIdtqUAC_Image_Response_a0Z4H00000axbULUAY,around you | White | Smoking | kills | White | Marlboro | Smoking | kills | Smoking | g | Muelboro | seriously harms | you and others | around you | MARLBORO | White | 200's | AED 128 | USD 35.56 | www.dubaidufyfree.com | around | you | seriously | harms | and | others | AED | 128 | USD | 35.56,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001mQrioUAC_Image_Response_a0Z4H00000axbUSUAY,"S | Only for | IQOS | 3 DUO Sa earlier devices | s not risk free and | , which is addictive. | HEETS | SILVER SELECTION | S | This product is n | Only for | IQOS | contains nicotine, W | 3 DUO & earlier devices | not risk free an | which is addict | HEETS | HEETS | S | Only for | SILVER SELECTION | TURQUOISE SELECTION | IQOS | Or | and | 3 DUO & earlier devices | 3 DUO & earlier de | This product is not risk free and | This product is | not risk free an | contains nicotine, | contains nicotine, which is addictive. | which is addict | S | HEETS | HEETS | isa | Only for | 3 DUO & earlier | SILVER SELECTION | Only | for | DUO | earlier | devices | not | risk | free | which | addictive. | SILVER | SELECTION | This | product | contains | nicotine, | addict | TURQUOISE | 3 DUO",L&M FORWARD,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MERIT ORANGE,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR
00P4H00001muq8lUAA_Image_Response_a0Z4H00000axbUNUAY,Smoking | CARTONS | Smoking | seriously harms | kills | you and others | around you | SELECTED PREMIUM TOBACCOS | - | GMED THE N | 20 | Smoking | seriously harms | you and others | Marlbord | ki | around you | SELECTED PREMIUM TOBACCOS | Smoking | Smokers | seriously harms | han | KIII | MARLBORO | Red | TOBACCOS | 400's | BELECTED PREM | AED 244 | USD 67.78 | www.dubardutyfree.com | Smoking | Smoking | kills | kills | HONGA JAPKLE ACHI | seriously | harms | you | and | others | around | PREMIUM | SELECTED | PREM | AED | 244 | USD | 67.78,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001mR3BvUAK_Image_Response_a0Z4H00000axbUJUAY,Davidoff | CLEARLING | Marlboro | SMART | SMA | -SEAL | oro | - | - - | silver blue | Manthoro silver blue | Smokin | kills | Maullo | Smoking | MARLBORO | KMS | Silver Blue | 200's | silver blue | AED 123 | USD 34.17 | www.dubaidutyfree.com | mell | SEAL | silver | blue | Silver | Blue | AED | 123 | USD | 34.17,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP00000229dxUAA_Image_Response_a0Z4H00000axbULUAY,are you | 2nd | Smoking | OFFER | PARLIAMENT | seriously harms | Aqua Blue | you and others | FILTER | around you | ESTD 1931 | FIFTH AVENUE NEW YORK | مسمرو Man | ARTOENT | PARLIAMENT | FFER | 2 OFFER | PARLIAMENT | Smoking | Aqua Blue | ORIGINAL RECESSED | kills | PARLIAMENT | W | YORK | A ua Blue | 400's | AED 263 | USD 73.06 | www.dubaidutyfree.com | PARLIAMENT | PARLIAMENT | PARLIAMENT | PARLIAMENT | PARLIAMEN | ORIGINAL RECESSED FILTER | ORIGINAL RECESSED FILTER | Aqua Blue | Aqua Blue | you | seriously | harms | and | others | around | ESTD | 1931 | FIFTH | AVENUE | NEW | Aqua | Blue | ORIGINAL | AED | 263 | USD | 73.06 | RECESSED,PARLIAMENT ONE,PARLIAMENT SSL,PARLIAMENT AQUA,PARLIAMENT BLUE,PARLIAMENT CARAT,PARLIAMENT NIGHT,PARLIAMENT HYBRID,PARLIAMENT LIGHTS,PARLIAMENT P BLUE,PARLIAMENT SILVER
00P4H00001lkx0TUAQ_Image_Response_a0Z4H00000axbUKUAY,SP | PARLIAMENT | one | PARL | FOR OUT | P | P | FOR ADULT | PARLIAMENT | PARLIAMENT | ORIGINAL RECESSED™ FILTER | ORIGINAL RECESSED™ FILTER | Silver Blue | Silver Blue | Platinum | ESTD | 1931 | ESTD | 1931 | FIFTH AVENUE - NEW YORK | FIFTH AVENUE - NEW YORK | PARLIAMENT | Smoking | s | seriously harms | Smoking | Tar | Nicotine | YOU and others | Carb | S | ille | monoxid | PARLIAMENT | Silver Blue | 200s | AED 134 | USD 37.22 | www.dubaidutyfree.com | A/LTAIC | FOR | ADULT | ORIGINAL | FILTER | Silver | Blue | FIFTH | AVENUE - | NEW | YORK | seriously | harms | and | AED | 134 | USD | 37.22,PARLIAMENT ONE,PARLIAMENT SSL,PARLIAMENT AQUA,PARLIAMENT BLUE,PARLIAMENT CARAT,PARLIAMENT NIGHT,PARLIAMENT HYBRID,PARLIAMENT LIGHTS,PARLIAMENT P BLUE,PARLIAMENT SILVER
00PdP000000mvwxUAA_Image_Response_a0Z4H00000axbUPUAY,dubandutyfree.co | LUNA SHUFFLE | SMOKE | SMELL | Martboro | CONTROL | Smoking | seriously harms | you and others | around you | VISTA | tropical splash | SMOKE | SMELL | CONTROL | Marlboro | Smoking | MARLBORO | Tropical Splash | 200's | VISTA | tropical splash | AED 132 | USD 36.67 | www.dubaidutyfree.com | eriously | harms | you and | Smoking | others | around | you | Marlboro | kills | LUNA | SHUFFLE | seriously | and | tropical | splash | Tropical | Splash | AED | 132 | USD | 36.67,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO TROPICAL SPLASH,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN
00P4H00001mQ4zuUAC_Image_Response_a0Z4H00000axbUKUAY,SMOKE | SMELL | CONTROL | Smoking | Cariboro | seriously har | you and othe | around you | VISTA | tropical splash | SMOKE | Marlboro | SMELL | CONTROL | Smoking | kills | VISTA | tropical splash | SMOKE | SMELL | Manthoro | Smoking | ills | MARLBORO | ME | Tropical | 200s | SPECIALS | AED 127 | a | USD 35.28 | www.dubaidutyfree.com | AED: 127 | a | Smoking causes early death المبكرة الوفاة يسيب التدخين | double mix | double ice | Smokers | Smoking | die | Smoking | Smoking | kills | vounger | kills | LAT | seriously | you | and | othe | around | tropical | splash | AED | 127 | USD | 35.28 | AED: | causes | early | death | المبكرة | الوفاة | double | mix | ice,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO TROPICAL SPLASH,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN
00PdP000003mNdJUAU_Image_Response_a0Z4H00000axbUMUAY,Smoking | seriously | harms | Marthard | you and | others | around | you | double ice | 3 | Smoking | Marlboro | kills | double ice | MARLBORO | Double Ice | 600's | AED 361 | USD 100.28 | www.dubaidutyfree.com | Marth | you | others | and | double | ice | Double | Ice | AED | 361 | USD | 100.28,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP000001xxd3UAA_Image_Response_a0Z4H00000axbUSUAY,CM | LM | My | LABEL | L&M | Smoking | 1139917 MYERS | kills | FINE TOBACCOS | FINELY CUT | L&M | Smoking | MYERS | kills | FINE TOBACCOS | FINELY CUT | L&M | Smoking | seriously harms | you and others | FINE TOBACCOS | around you | FINELY CUT | L&M | Smoking | kills | you If cm | L&M | Blue | 200's | AED 100 | USO 27.78 | www.dubundutyfree.com | FINE | TOBACCOS | FINELY | CUT | seriously | harms | you | and | others | around | AED | 100 | 27.78,LARK BLUE,NEXT BLUE,L&M RED,ASSOS BLUE,MERIT BLUE,L&M RED LABEL,L&M COOL,L&M LOFT,L&M BLUE LABEL,L&M GREEN
00P4H00001lmLAUUA2_Image_Response_a0Z4H00000axbUKUAY,Marbaro white | Smoking | kills | Martbaro | Smoking | kills | white | Myalbong | Smoking | seriously harms | Castro | you and others | MALBORO | White | 200s | AED 198.45 | USD 55.12 | www.dubaidutyfree.com | Carbon | Tar 4 mg | ms | -SEAL | Nicotine 0.3 | monoxide 4 n | Marlboro | seriously | harms | you | and | others | AED | 198.45 | USD | 55.12 | Tar | Nicotine | 0.3 | monoxide,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP000001yPW3UAM_Image_Response_a0Z4H00000axbUOUAY,100 | Smoking | Marihoro | kills | double mix | MARLBORO | Double Mix | 600's | AED 361 | USD 100.28 | www.dubaidutyfree.com | O | Marlboro | Marlboro | contains menting | SMART | -SEAL | double | mix | Double | Mix | AED | 361 | USD | 100.28 | contains,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP000003mAubUAE_Image_Response_a0Z4H00000axbUJUAY,"TEREA should not be | generation devices a | TEREA should not be used with | generation devices asitmay dam | Smoking | Marlboro | small J | Marlboro | smell S | 1888 | Marlboro | smell et SS | Nicotin | Marlboro | , | mg | o | 80 | less smell | Smoking | Marlboro | kills | edge | less emett | .... | Marlboro | Tar mg | Nicotine 0.4 mg | Carbon | A mg | less smell | edge | ANIMALE | 444 | Smoking | Ma | kills | MARLBORO | Edge | 200's | AED 139 | USD 38.61 | www.dubaidutyfree.com | sk free and | 3 DUO& earlier devices | is addictive. | noking | kills | AL | PHILIP MORRIS | Smoking seriously harms | around you | Smoking | PHILIP MODDIC | TEREA | generation | should not be | used | with | devices | dam | smell | less | Tar | Nicotine | 0.4 | AED | 139 | USD | 38.61 | free | and | addictive. | PHILIP | MORRIS | seriously | around | you",MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00PdP0000021cgRUAQ_Image_Response_a0Z4H00000axbUMUAY,CARTONS | Smoking | seriously harms | ooking | you and others | around you | kills | SELECTED PREMIUM TOBACCOS | Q | glon GPM | KUN | JC | o | AON | O | 2 | Smokir | moking | kills | kills | SELECTED PREMIUM TOBACCOS | CARTONS | C | Smoking | Smoking | NIKS | MARLBORO | Red | LECTED PREMIUM | 400's | AED 244 | USD 67.78 | www.dubaadutyfree.com | ACONSISTENT | BMOKING EXPERIENCE | FROM START TO FINISH | seriously | harms | you | and | others | around | PREMIUM | TOBACCOS | SELECTED | LECTED | AED | 244 | USD | 67.78 | FROM START,L&M RED,NEXT RED,DUNHILL RED,LARK-BAISHA PREMIUM BAISHA,L&M RED LINE,NUMBER 7 RED,L&M RED LABEL,L&M RED STYLE,NEXT XTRA RED,L&M RED LABEL B
00PdP00000071XGUAY_Image_Response_a0Z4H00000axbUQUAY,Davidoff | CIGARETTES | - | - | HCAF | - | the | UP TO 5 | SMART | DIFFERENT FLAVORS | -SEAL | SHUFFLE | random my flavore | Smoking | kills | SHUFFLE | random mix of flavors | Smoking | seriously harms | MARLBORO | FOOD | Shuffle Menthol | u | 200's | S | UFFLE | m mix of flavors | ra | AED 132 | USD 36.07 | www.dubaidutyfree.com | ...9 | seriously harms | you and others | s | DIFFERENT | FLAVORS | random | mix | flavors | seriously | harms | Shuffle | Menthol | AED | 132 | USD | 36.07 | you | and | others,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
00P4H00001mOscZUAS_Image_Response_a0Z4H00000axbUSUAY,"Smoking | S | Manthoro | kills | flavor mix | Smoking | ms | is highly | ers | addictive, | Maulbaro | u | don't start | flavor mix | s | O | Manhboro | Smoking | kills | 1 | flavor mix | Smoking | king | Is | ManHbaro | kills | MARLBORO | Flavor Mix | 200s | AED 127 | USD 35.28 | www.dubaidutyfree.com | A consistent tante experience | SMART | consistent taste experience | from start to finish | -SEAL | from start to finish | In a Soft- -Touch pack | FIRM FILTER | In a Soft- -Touch pack | ROUND TASTE | flip-top™box | II | Smoking | flavor | mix | highly | don't | start | Flavor | Mix | AED | 127 | USD | 35.28 | consistent | experience | taste | from | finish | pack | Soft- | TASTE",MARLBORO FLAVOR MIX,MARLBORO FLAVOR MIX FWD,SG AZUL,L&M COOL,L&M LOFT,LARK ONE,ASSOS RED,DIANA BLU,L&M STORM,LARK BLUE
00P4H00001mPywiUAC_Image_Response_a0Z4H00000axbURUAY,"TEREA BRONZE | AED 144 | USD 40.00 | IQOS | TEREA | EREZ | BRONZE | BRONZE | Works,only with IQOS ILUMA | Works only with icos ILUMA | TEREA | TEREA | BRONZE | BRONZE | Works only with IQOS ILUMA | Works only with IQOS ILUMA | TEREA | TEREA | BRONZE | BRONZE | Works only with IQOS ILUMA | Works only with IQOS ILUMA | AED | 144 | USD | 40.00 | ILUMA | Works | only | with",,,,,,,,,,
00PdP0000047IAvUAM_Image_Response_a0Z4H00000axbUJUAY,Smoking clogs | the arteries | and causes | heart attacks | and strokes | SELECTED PREMIUM TOBACCOS | Min | Smoking | seriously harms | more | you and others | around you | SELECTED PREMIUM TOBACCOS | Smoking | kills | SELECTED PREMIUM TOBACCOS | I | MARLBORO | Red | 200's | AED 128 | USD 35.56 | www.dubaidutyfree.com | - | - | Marlboro | Dossom fusion | - | Mar | Ma | company | G | Marlboro | clogs | the | arteries | and | causes | heart | attacks | strokes | SELECTED | PREMIUM | TOBACCOS | seriously | harms | you | others | around | AED | 128 | USD | 35.56,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO RED B,MARLBORO TOUCH
00P4H00001muqJ3UAI_Image_Response_a0Z4H00000axbUMUAY,Smoking | CARTONS | seriously harms | du | Sm | Smokin | sei | h | kills | yo | O | gold | ar | Monthuro | R | Smoking | seriously har | ng | you and oth | sly | around you | gold | S | nd | CARTONS | rs | nd | Manhara | Smokin | kills | MARLBORO | go | Gold | 400's | AED 244 | USD 67.78 | www.dubardutyfree.com | seriously | harms | you | and | oth | around | AED | 244 | USD | 67.78,LARK FF,LARK BLUE,LARK EXTRA,LARK MILDS,LARK SUPER,LARK ULTRA,DUNHILL RED,L&M RED,PARLIAMENT SSL,SG AZUL
00PdP000003lqBBUAY_Image_Response_a0Z4H00000axbUOUAY,"the | g | nicotine in any | OFFER | Smoking | PARLIAMENT | PARLIAMENT | ORIGINAL RECESSED FILTER | seriously harms | Platinum | you and others | ORIGINAL RECESSED FILTER | Platinum | around you | ESTD 1931 | FIFTH AVENUE NEW YORK | ESTD 1931 | FIFTH AVENUE NEW YORK | 2 OFFER | Smoking | PARLIAMENT | Smoking | seriously harms | Platinum | kills | you and others | ORIGINAL RECESSED FILTER | around you | ESTD 1931 | FIFTH AVENUE - NEW YORK | 2 OFFER | Smoking | PARLIAMENT | seriously harms | PARLIAMENT | Platinum | ORIGINAL RECESSED"" FILTER | you and others | ORIGINAL RECESSED FILTER | around you | ESTD 1931 | Platinum | FIFTH AVENUE - NEW YORK | ESTD | 1931 | FIFTH AVENUE NEW YORK | OFFER | PARLIAMENT | Smoking | Smoking | Platinum | s | seriously harms | kills | ORIGINAL RECESSED | S | any | ORIGINAL | FILTER | seriously | harms | you | and | others | around | FIFTH | AVENUE | NEW | YORK | RECESSED | NEW YORK",PARLIAMENT ONE,PARLIAMENT SSL,PARLIAMENT AQUA,PARLIAMENT BLUE,PARLIAMENT CARAT,PARLIAMENT HYBRID,PARLIAMENT P BLUE,PARLIAMENT SILVER,PARLIAMENT P BLACK,MERIT FILTER
00PdP000004FsYtUAK_Image_Response_a0Z4H00000axbUJUAY,Manthoro | Smokin | kills | VISTA | blossom fusion | Martboro | Smoking | kills | VISTA | blossom fusion | MARLBORO | Vista Blossom Fusion | 200's | AED 132 | USD 36.67 | seroosiy | www.dubaidutyfree.com | harms | Marlborn | you and | others | round | blossom | fusion | Vista | Blossom | Fusion | AED | 132 | USD | 36.67 | you | and,MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO BLOSSOM FUSION,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN
00P4H00001nIysvUAC_Image_Response_a0Z4H00000axbUPUAY,QUALITY TOBACCOS | The | 8 mg | SINCE 1953 | e 0.6 mg | de 8 mg | L&M | BLUE LABEL | Liggen Myer | life - | CAZ SB | L&M IGIAL | MORRIS | BLUELABEL | L&M | Smoking | seriously harms | you and others | FINE TOBACCOS | around you | FINELY CUT | I& I M | Smoking | L&M | FINE TOBACCOS | FINELY CUT | Blue Label | 200s | AED 100 | USD 27.78 | www.dubaidutyfree.com | PHILIP M | L&M | SUPREM | 28 | Smoking | QUALITY | TOBACCOS | SINCE | 1953 | BLUE | LABEL | seriously | harms | you | and | others | FINE | around | FINELY | CUT | Blue | Label | AED | 100 | USD | 27.78 | PHILIP,LARK BLUE,NEXT BLUE,L&M RED,ASSOS BLUE,MERIT BLUE,L&M COOL,L&M LOFT,PHILIP MORRIS ONE,PHILIP MORRIS RED,BELMONT BLUE
00P4H00001mR2muUAC_Image_Response_a0Z4H00000axbUOUAY,"Smoke contains | benzene, | nitrosamines, | formaldehyde | and hydrogen | cyanide | double mix | 3 | Protect | children: | ng | don't make | s | them breathe | Marlimed | your smoke | MARLBORO | mix | Double Mix | 600s | AED 346 | USD 96.11 | www.dubaidutyfree.com | الرئه وامر اض القلب | Smoke | contains | and | hydrogen | double | don't | make | them | breathe | your | smoke | Double | Mix | AED | 346 | USD | 96.11 | وامر | القلب",MARLBORO MIX,MARLBORO ONE,MARLBORO RED,MARLBORO EDGE,MARLBORO GOLD,MARLBORO AMBER,MARLBORO BLACK,MARLBORO CLEAR,MARLBORO GREEN,MARLBORO MICRO
