TERM,TERM_TYPE,TERM_LENGTH
UNIC,BRAND_FAMILY,4
FIVE OXEN,BRAND_FAMILY,9
COLUMNA,BRAND_FAMILY,7
GABAH,BRAND_FAMILY,5
LADJOE,BRAND_FAMILY,6
WOODSTOCK,BRAND_FAMILY,9
CLUB 10,BRAND_FAMILY,7
SHAZHOU,BRAND_FAMILY,7
POCKET EDITION,BRAND_FAMILY,14
CERBUL CARPATILOR,BRAND_FAMILY,17
ID CORE STANDARD,BRAND_FAMILY,16
SILVER,BRAND_FAMILY,6
JI LIOK PAT,BRAND_FAMILY,11
EBLA,BRAND_FAMILY,4
VICTORY FOREVER,BRAND_FAMILY,15
ARMENIA,BRAND_FAMILY,7
WAKABA,BRAND_FAMILY,6
MISTURA FINA,BRAND_FAMILY,12
KURSK,BRAND_FAMILY,5
GUDANG PRAMBANAN,BRAND_FAMILY,16
PRIMADONNA,BRAND_FAMILY,10
KERATON DALEM,BRAND_FAMILY,13
QIFEI,BRAND_FAMILY,5
FLYING,BRAND_FAMILY,6
TVIN TABAK,BRAND_FAMILY,10
DE BOERKES,BRAND_FAMILY,10
PATRIOTI,BRAND_FAMILY,8
KI-SUCO (FOOD ),BRAND_FAMILY,15
STYLE RING,BRAND_FAMILY,10
FORM,BRAND_FAMILY,4
MAGNUM,BRAND_FAMILY,6
CLAS,BRAND_FAMILY,4
COUTURE,BRAND_FAMILY,7
SHUANGXI,BRAND_FAMILY,8
ISCORE,BRAND_FAMILY,6
PACHA SYN,BRAND_FAMILY,9
HEXA,BRAND_FAMILY,4
BRINGI,BRAND_FAMILY,6
BRYDZOWE,BRAND_FAMILY,8
PRINCE ROMANOFF,BRAND_FAMILY,15
PIRVELI,BRAND_FAMILY,7
MARK 1,BRAND_FAMILY,6
SUMMER,BRAND_FAMILY,6
EXTRA LUDOWY,BRAND_FAMILY,12
ARGYMAK,BRAND_FAMILY,7
EXPO,BRAND_FAMILY,4
SNOWPLUS,BRAND_FAMILY,8
CONDOR,BRAND_FAMILY,6
BAROKAH,BRAND_FAMILY,7
ALVO,BRAND_FAMILY,4
MANTRA,BRAND_FAMILY,6
MQS,BRAND_FAMILY,3
NYASA 2010,BRAND_FAMILY,10
ESTELLE,BRAND_FAMILY,7
LUXLITE,BRAND_FAMILY,7
GE-EL,BRAND_FAMILY,5
SOCHI,BRAND_FAMILY,5
NEW BLACK,BRAND_FAMILY,9
FEHER HELIKON,BRAND_FAMILY,13
AUTOSTOP,BRAND_FAMILY,8
KARIYER,BRAND_FAMILY,7
DIAMOND STANDARD,BRAND_FAMILY,16
YUZY (FOOD ),BRAND_FAMILY,12
JONNEE GREEN,BRAND_FAMILY,12
PUJIANG,BRAND_FAMILY,7
FINE CUT,BRAND_FAMILY,8
BETAB,BRAND_FAMILY,5
QBOX,BRAND_FAMILY,4
WISMA,BRAND_FAMILY,5
PALL MALL EXPORT,BRAND_FAMILY,16
NIL,BRAND_FAMILY,3
POBEDA,BRAND_FAMILY,6
KLAIPEDA,BRAND_FAMILY,8
UNDEFINED,BRAND_FAMILY,9
WINNER,BRAND_FAMILY,6
LIBERTY,BRAND_FAMILY,7
VAPE PRO,BRAND_FAMILY,8
MONUS,BRAND_FAMILY,5
DAVID & GOLIATH,BRAND_FAMILY,15
(KENSITAS),BRAND_FAMILY,10
LOST MARY BM600,BRAND_FAMILY,15
SENSO,BRAND_FAMILY,5
CORONAS,BRAND_FAMILY,7
TIKHIY DON,BRAND_FAMILY,10
DORFF,BRAND_FAMILY,5
APEX,BRAND_FAMILY,4
ORION,BRAND_FAMILY,5
HERO,BRAND_FAMILY,4
AMAROK,BRAND_FAMILY,6
NORTENOS,BRAND_FAMILY,8
PROGRESS,BRAND_FAMILY,8
RESPECT,BRAND_FAMILY,7
MELODY,BRAND_FAMILY,6
SAMSUMAS,BRAND_FAMILY,8
GUNUNG GULA,BRAND_FAMILY,11
AVENUE,BRAND_FAMILY,6
MICRO 5,BRAND_FAMILY,7
SIRVAN,BRAND_FAMILY,6
NICE,BRAND_FAMILY,4
BENTLEY,BRAND_FAMILY,7
INSAM,BRAND_FAMILY,5
COMMANDER,BRAND_FAMILY,9
NIZHEGORODSKIE,BRAND_FAMILY,14
MONTEZUMA,BRAND_FAMILY,9
CORONA HERITAGE,BRAND_FAMILY,15
PUFF HOUSE,BRAND_FAMILY,10
HYDE PARK,BRAND_FAMILY,9
SEVERNAYA PALMIRA,BRAND_FAMILY,17
PENTAGON,BRAND_FAMILY,8
MMC,BRAND_FAMILY,3
RECONSTITUED TOBACCO,BRAND_FAMILY,20
SKYLINE,BRAND_FAMILY,7
DIVO,BRAND_FAMILY,4
IPHA,BRAND_FAMILY,4
POLSKI BROOKLYN,BRAND_FAMILY,15
ALMAGO,BRAND_FAMILY,6
DOUBLE GOLD,BRAND_FAMILY,11
MERAH DJINGGA,BRAND_FAMILY,13
SUASANA,BRAND_FAMILY,7
HEINEKEN (BEER),BRAND_FAMILY,15
VEGAZ,BRAND_FAMILY,5
MIXOLOGY,BRAND_FAMILY,8
BAT,BRAND_FAMILY,3
LOGIC COMPACT,BRAND_FAMILY,13
CAMEL,BRAND_FAMILY,5
BLACK DIAMOND,BRAND_FAMILY,13
VERTICAL,BRAND_FAMILY,8
PEACE,BRAND_FAMILY,5
GOLDFASAN,BRAND_FAMILY,9
RIDGES,BRAND_FAMILY,6
ANGELO,BRAND_FAMILY,6
BLA STREK,BRAND_FAMILY,9
SPRINGWATER,BRAND_FAMILY,11
LIFE,BRAND_FAMILY,4
KEVYTSAVUKE,BRAND_FAMILY,11
ZLOTY ROG,BRAND_FAMILY,9
MT.D'OR,BRAND_FAMILY,7
EASTSIDE,BRAND_FAMILY,8
ZAR,BRAND_FAMILY,3
VYATSKIE,BRAND_FAMILY,8
TOBACCO FARM,BRAND_FAMILY,12
FIDEL,BRAND_FAMILY,5
STIG,BRAND_FAMILY,4
BLUE WAVE,BRAND_FAMILY,9
PORTUGUES,BRAND_FAMILY,9
BENTON,BRAND_FAMILY,6
COLLORYS,BRAND_FAMILY,8
ROGER,BRAND_FAMILY,5
BLA ROSE,BRAND_FAMILY,8
SCHILING,BRAND_FAMILY,8
KOZAK,BRAND_FAMILY,5
CUBA,BRAND_FAMILY,4
VAPEROLL,BRAND_FAMILY,8
SIMONA,BRAND_FAMILY,6
HARMONI,BRAND_FAMILY,7
THE BLACK SHEEP,BRAND_FAMILY,15
CURTIS,BRAND_FAMILY,6
IRIAN,BRAND_FAMILY,5
FLOYD,BRAND_FAMILY,5
AMBORG,BRAND_FAMILY,6
ASES,BRAND_FAMILY,4
MT LUX,BRAND_FAMILY,6
GLO HYPER+,BRAND_FAMILY,10
SAM SAM,BRAND_FAMILY,7
GUDANG BARU,BRAND_FAMILY,11
CAPITANSKIE,BRAND_FAMILY,11
NAGA,BRAND_FAMILY,4
WERVIK EXTRA,BRAND_FAMILY,12
PLASMA BLUE,BRAND_DIFFERENTIATOR,11
BUTTER BISCUIT,BRAND_DIFFERENTIATOR,14
LONDON BLUE,BRAND_DIFFERENTIATOR,11
MINI VANILLA,BRAND_DIFFERENTIATOR,12
REGULAR SKY,BRAND_DIFFERENTIATOR,11
CAR MOUNT MS,BRAND_DIFFERENTIATOR,12
GOLD CLASSIC,BRAND_DIFFERENTIATOR,12
FACTORY BATCH III S3,BRAND_DIFFERENTIATOR,20
FINE CUT,BRAND_DIFFERENTIATOR,8
AMBASSADOR EXTRA MILD,BRAND_DIFFERENTIATOR,21
TEAL,BRAND_DIFFERENTIATOR,4
MOIST,BRAND_DIFFERENTIATOR,5
FRESHSEAL LEGENDARY RUBY,BRAND_DIFFERENTIATOR,24
CLASSIC AZURE,BRAND_DIFFERENTIATOR,13
DEFINE SLIMS,BRAND_DIFFERENTIATOR,12
ORIGINAL CHOICE,BRAND_DIFFERENTIATOR,15
NOW BLACKCURRANT 1.8% 2ML,BRAND_DIFFERENTIATOR,25
DUO TURQUOISE,BRAND_DIFFERENTIATOR,13
MODERN,BRAND_DIFFERENTIATOR,6
NEX MELON KIWI,BRAND_DIFFERENTIATOR,14
CORTOS,BRAND_DIFFERENTIATOR,6
LOWIT CHERRY GRAPE LEMONADE 2%,BRAND_DIFFERENTIATOR,30
NO 9,BRAND_DIFFERENTIATOR,4
EMERALD,BRAND_DIFFERENTIATOR,7
HALFZWARE SHAG RR,BRAND_DIFFERENTIATOR,17
HAMI MELON,BRAND_DIFFERENTIATOR,10
2.4PLUS - RED,BRAND_DIFFERENTIATOR,13
FORWARD BLUE,BRAND_DIFFERENTIATOR,12
GLACE,BRAND_DIFFERENTIATOR,5
ONE SOUR APPLE 1.8%,BRAND_DIFFERENTIATOR,19
(GREEN) 7.1,BRAND_DIFFERENTIATOR,11
CLUB EXTRA LOUNGE,BRAND_DIFFERENTIATOR,17
VULCANO RED,BRAND_DIFFERENTIATOR,11
XPOD GREEN,BRAND_DIFFERENTIATOR,10
MENTHE FRESH 1,BRAND_DIFFERENTIATOR,14
RED FRUITS S2,BRAND_DIFFERENTIATOR,13
MOMENTS WHITE,BRAND_DIFFERENTIATOR,13
CRAFT MENTHOL BERRY 8,BRAND_DIFFERENTIATOR,21
ONE RED 3.5%,BRAND_DIFFERENTIATOR,12
CHERVONY,BRAND_DIFFERENTIATOR,8
CAFE 1MG,BRAND_DIFFERENTIATOR,8
TURQUOISE FUSE,BRAND_DIFFERENTIATOR,14
CHERRY 4,BRAND_DIFFERENTIATOR,8
MOMENTS BLUE,BRAND_DIFFERENTIATOR,12
DJAYA,BRAND_DIFFERENTIATOR,5
POLAR MINT MEDIUM,BRAND_DIFFERENTIATOR,17
XIZHICHANGLE,BRAND_DIFFERENTIATOR,12
OPTION FIZZY GOLD 1,BRAND_DIFFERENTIATOR,19
COFFEE 4MG,BRAND_DIFFERENTIATOR,10
AQUAFLOWER,BRAND_DIFFERENTIATOR,10
LATTE,BRAND_DIFFERENTIATOR,5
SPEARMINT 9MG,BRAND_DIFFERENTIATOR,13
OPTION DUO,BRAND_DIFFERENTIATOR,10
CAP VELVET  GREY(3M),BRAND_DIFFERENTIATOR,20
IBOOST 5,BRAND_DIFFERENTIATOR,8
TROPICAL LIME (18MG/ML),BRAND_DIFFERENTIATOR,23
ORIGINAL STRONG,BRAND_DIFFERENTIATOR,15
FULL FLAVOR SELECT SLIM,BRAND_DIFFERENTIATOR,23
DEMI CLICK VOLT,BRAND_DIFFERENTIATOR,15
SOLID 2.0 CBLUE CAP,BRAND_DIFFERENTIATOR,19
(CLARO),BRAND_DIFFERENTIATOR,7
GOLDPEARL,BRAND_DIFFERENTIATOR,9
MIX KIT 0.8% (3 PODS GREY DVC),BRAND_DIFFERENTIATOR,30
PREMIUM BLEND (BLUE),BRAND_DIFFERENTIATOR,20
NOW PURPLE WAVE 1.8%  5ML,BRAND_DIFFERENTIATOR,25
VANILLE 6MG,BRAND_DIFFERENTIATOR,11
BANANA 24MG,BRAND_DIFFERENTIATOR,11
BLOND NATURAL,BRAND_DIFFERENTIATOR,13
GENERATION LIGHTS,BRAND_DIFFERENTIATOR,17
YELLOW BOOST,BRAND_DIFFERENTIATOR,12
COMPACT ROYAL'S,BRAND_DIFFERENTIATOR,15
DARK STOUT,BRAND_DIFFERENTIATOR,10
BAR LYCHEE ICE,BRAND_DIFFERENTIATOR,14
3.0 POD MENTHOL 10MG,BRAND_DIFFERENTIATOR,20
SL LINE GOLD,BRAND_DIFFERENTIATOR,12
NOVA NARANCSSARGA,BRAND_DIFFERENTIATOR,17
BERRY BLEND 5K,BRAND_DIFFERENTIATOR,14
06 PURPLE,BRAND_DIFFERENTIATOR,9
XS PURPLE MIX,BRAND_DIFFERENTIATOR,13
SPRING,BRAND_DIFFERENTIATOR,6
FINE CUT MASTER BLEND,BRAND_DIFFERENTIATOR,21
L ORIGINALE VERTE,BRAND_DIFFERENTIATOR,17
CLIP-ON TRAY RED,BRAND_DIFFERENTIATOR,16
MILD FLAVOR,BRAND_DIFFERENTIATOR,11
LEATHER FOLIO D RED( 3),BRAND_DIFFERENTIATOR,23
PURPLE FRESH,BRAND_DIFFERENTIATOR,12
GENERAL S2,BRAND_DIFFERENTIATOR,10
MANGGA,BRAND_DIFFERENTIATOR,6
SENSASI PRIMA,BRAND_DIFFERENTIATOR,13
CONNECT SILVER,BRAND_DIFFERENTIATOR,14
STRAWBERRY LIME 18MG,BRAND_DIFFERENTIATOR,20
STRAWBERRY BULL 0MG,BRAND_DIFFERENTIATOR,19
4 ULTRA MILD,BRAND_DIFFERENTIATOR,12
SILVER ADVANT,BRAND_DIFFERENTIATOR,13
PURPLE GRAPE,BRAND_DIFFERENTIATOR,12
BONDI,BRAND_DIFFERENTIATOR,5
SAKURA WAVE,BRAND_DIFFERENTIATOR,11
AFRICA GOLA,BRAND_DIFFERENTIATOR,11
MONT BLANC (BLUE),BRAND_DIFFERENTIATOR,17
MELON ORIGINAL S3,BRAND_DIFFERENTIATOR,17
VELVET VALLEY 3.5%,BRAND_DIFFERENTIATOR,18
NO. 1 GOLD,BRAND_DIFFERENTIATOR,10
AMBER WAVE 1.8%,BRAND_DIFFERENTIATOR,15
ARMEISKAYA,BRAND_DIFFERENTIATOR,10
SUPERCOMPACT ACTIVATE,BRAND_DIFFERENTIATOR,21
DECO PATCH TURQUOISE AOKI ED,BRAND_DIFFERENTIATOR,28
EVOLUTION LIGHTS,BRAND_DIFFERENTIATOR,16
MINT 15ML,BRAND_DIFFERENTIATOR,9
DEFINE,BRAND_DIFFERENTIATOR,6
3.0 POD FRUIT MIX 18MG,BRAND_DIFFERENTIATOR,22
WATERMELON LIMEADE,BRAND_DIFFERENTIATOR,18
CITRIC BLAST,BRAND_DIFFERENTIATOR,12
LUXURY QUEEN,BRAND_DIFFERENTIATOR,12
BLACK RASPBERRY ICE 20MG,BRAND_DIFFERENTIATOR,24
LOWIT STRAWBERRY YOGURT 2%,BRAND_DIFFERENTIATOR,26
WATERMELON BUBBLEGUM 0MG,BRAND_DIFFERENTIATOR,24
PURE FLAVOUR NO. 10,BRAND_DIFFERENTIATOR,19
WATERMELON 0MG,BRAND_DIFFERENTIATOR,14
MINISLIMS PEARL,BRAND_DIFFERENTIATOR,15
SILVER,BRAND_DIFFERENTIATOR,6
PEACH 3MG,BRAND_DIFFERENTIATOR,9
RUSSET,BRAND_DIFFERENTIATOR,6
EVO BLUE LSS,BRAND_DIFFERENTIATOR,12
GRAPE MINT,BRAND_DIFFERENTIATOR,10
CMINT S3 I.MINT IBC C.GUAVA S4,BRAND_DIFFERENTIATOR,30
(WHITE-RED),BRAND_DIFFERENTIATOR,11
CINNAMON 6MG,BRAND_DIFFERENTIATOR,12
SPECIAL WHITE,BRAND_DIFFERENTIATOR,13
UNIQUE,BRAND_DIFFERENTIATOR,6
EXTRA FINE (WHITE),BRAND_DIFFERENTIATOR,18
BLUSHY BERRY S2,BRAND_DIFFERENTIATOR,15
VMATE,BRAND_DIFFERENTIATOR,5
SOHO APPLE 0.8%,BRAND_DIFFERENTIATOR,15
RAINBOW CANDY 0MG,BRAND_DIFFERENTIATOR,17
ONE AOKI EDITION,BRAND_DIFFERENTIATOR,16
DEMI VIOLET CLICK,BRAND_DIFFERENTIATOR,17
ORIGINS (RED),BRAND_DIFFERENTIATOR,13
ELEMENT SAND,BRAND_DIFFERENTIATOR,12
SIMPLE SILVER,BRAND_DIFFERENTIATOR,13
RED MIX 3.5%,BRAND_DIFFERENTIATOR,12
MINI MOHITO,BRAND_DIFFERENTIATOR,11
(2.4 SLATE MOBILITY KIT),BRAND_DIFFERENTIATOR,24
SUPERKINGS GOLD,BRAND_DIFFERENTIATOR,15
ORIGINAL SMOOTH,BRAND_DIFFERENTIATOR,15
CLASSIC STYLE,BRAND_DIFFERENTIATOR,13
PLUS SUPER LIGHTS,BRAND_DIFFERENTIATOR,17
SUMMER YELLOW,BRAND_DIFFERENTIATOR,13
ROJO ORIGINAL,BRAND_DIFFERENTIATOR,13
ESSENTIAL FLAVOR (RED),BRAND_DIFFERENTIATOR,22
ULTRA MENTHOL,BRAND_DIFFERENTIATOR,13
STRAWBERRY WATERMELON BUBBLE G,BRAND_DIFFERENTIATOR,30
GREEN MICRO,BRAND_DIFFERENTIATOR,11
MAUVE MIX V 1.6%,BRAND_DIFFERENTIATOR,16
COMPACT (ORANGE),BRAND_DIFFERENTIATOR,16
WATERMELON CHERRY 20MG,BRAND_DIFFERENTIATOR,22
MAX BLUE,BRAND_DIFFERENTIATOR,8
CERAMIC TRAY BLACK GOLD,BRAND_DIFFERENTIATOR,23
SOLID 3.0 SPACE BLACK,BRAND_DIFFERENTIATOR,21
PRO 950 KIT BLUEBERRY ICE 18MG,BRAND_DIFFERENTIATOR,30
CHUNZHENGJIUHAO,BRAND_DIFFERENTIATOR,15
VOLUME TOBACCO (BLUE),BRAND_DIFFERENTIATOR,21
COURTLEIGH BLEND SWITCH,BRAND_DIFFERENTIATOR,23
ANDA,BRAND_DIFFERENTIATOR,4
COASTAL COCKTAIL,BRAND_DIFFERENTIATOR,16
EXCLUSIVE MINI BLACK,BRAND_DIFFERENTIATOR,20
ESSENCE 1MG,BRAND_DIFFERENTIATOR,11
HIAKA,BRAND_DIFFERENTIATOR,5
ROASTED BLEND 1.8%,BRAND_DIFFERENTIATOR,18
COMPACT PLUS RED,BRAND_DIFFERENTIATOR,16
LIQUORICE S2,BRAND_DIFFERENTIATOR,12
COLD BLAST S3,BRAND_DIFFERENTIATOR,13
BERRY 6MG,BRAND_DIFFERENTIATOR,9
STRAWBERRY ICE 10 MG,BRAND_DIFFERENTIATOR,20
BALANCE SILVER,BRAND_DIFFERENTIATOR,14
MATE500,BRAND_DIFFERENTIATOR,7
MODE (SILVER),BRAND_DIFFERENTIATOR,13
MARIGOLD 3.5%,BRAND_DIFFERENTIATOR,13
MAX GOLD,BRAND_DIFFERENTIATOR,8
E PEN 3 BLUE KIT - DEVICE,BRAND_DIFFERENTIATOR,25
