matched_products_per_image.csvIMAGE_ID,RAW_TEXT,BRAND_FAMILIES_FOUND,DIFFERENTIATORS_FOUND,FULL_PRODUCT_MATCHES,CONFIDENCE_SCORE
00PdP000003m4ilUAA_Image_Response_a0Z4H00000axbULUAY,DDF  ONLINE  SB           SMOKING  MARLBORO  KILLS  EDGE  LESS SMELL  SMOKI  MARLBORO  KILLS  EDGE  LESS SMELL  SMOKING  MARLBORO  KIP  EDGE  200S  ED  LE  AED 139  USD 3861  WWWDUBAIDUTYFREECOM  SERIOUSLY HARMS  MART  SEAL  MANTBORO  YOU AND OTHERS  AROUND YOU  SILVER BLUE  LESS  SMELL  AED  139  USD  3861  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  SILVER  BLUE,MARLBORO,"BLUE, EDGE, SILVER",,5
00P4H00001nIdtqUAC_Image_Response_a0Z4H00000axbULUAY,AROUND YOU  WHITE  SMOKING  KILLS  WHITE  MARLBORO  SMOKING  KILLS  SMOKING  G  MUELBORO  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  MARLBORO  WHITE  200S  AED 128  USD 3556  WWWDUBAIDUFYFREECOM  AROUND  YOU  SERIOUSLY  HARMS  AND  OTHERS  AED  128  USD  3556,MARLBORO,WHITE,,3
00P4H00001mQrioUAC_Image_Response_a0Z4H00000axbUSUAY,S  ONLY FOR  IQOS  3 DUO SA EARLIER DEVICES  S NOT RISK FREE AND   WHICH IS ADDICTIVE  HEETS  SILVER SELECTION  S  THIS PRODUCT IS N  ONLY FOR  IQOS  CONTAINS NICOTINE W  3 DUO  EARLIER DEVICES  NOT RISK FREE AN  WHICH IS ADDICT  HEETS  HEETS  S  ONLY FOR  SILVER SELECTION  TURQUOISE SELECTION  IQOS  OR  AND  3 DUO  EARLIER DEVICES  3 DUO  EARLIER DE  THIS PRODUCT IS NOT RISK FREE AND  THIS PRODUCT IS  NOT RISK FREE AN  CONTAINS NICOTINE  CONTAINS NICOTINE WHICH IS ADDICTIVE  WHICH IS ADDICT  S  HEETS  HEETS  ISA  ONLY FOR  3 DUO  EARLIER  SILVER SELECTION  ONLY  FOR  DUO  EARLIER  DEVICES  NOT  RISK  FREE  WHICH  ADDICTIVE  SILVER  SELECTION  THIS  PRODUCT  CONTAINS  NICOTINE  ADDICT  TURQUOISE  3 DUO,,"DUO, SILVER",,2
00P4H00001muq8lUAA_Image_Response_a0Z4H00000axbUNUAY,SMOKING  CARTONS  SMOKING  SERIOUSLY HARMS  KILLS  YOU AND OTHERS  AROUND YOU  SELECTED PREMIUM TOBACCOS    GMED THE N  20  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  MARLBORD  KI  AROUND YOU  SELECTED PREMIUM TOBACCOS  SMOKING  SMOKERS  SERIOUSLY HARMS  HAN  KIII  MARLBORO  RED  TOBACCOS  400S  BELECTED PREM  AED 244  USD 6778  WWWDUBARDUTYFREECOM  SMOKING  SMOKING  KILLS  KILLS  HONGA JAPKLE ACHI  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  PREMIUM  SELECTED  PREM  AED  244  USD  6778,MARLBORO,RED,,3
00P4H00001mR3BvUAK_Image_Response_a0Z4H00000axbUJUAY,DAVIDOFF  CLEARLING  MARLBORO  SMART  SMA  SEAL  ORO       SILVER BLUE  MANTHORO SILVER BLUE  SMOKIN  KILLS  MAULLO  SMOKING  MARLBORO  KMS  SILVER BLUE  200S  SILVER BLUE  AED 123  USD 3417  WWWDUBAIDUTYFREECOM  MELL  SEAL  SILVER  BLUE  SILVER  BLUE  AED  123  USD  3417,MARLBORO,"BLUE, SILVER",,4
00PdP00000229dxUAA_Image_Response_a0Z4H00000axbULUAY,ARE YOU  2ND  SMOKING  OFFER  PARLIAMENT  SERIOUSLY HARMS  AQUA BLUE  YOU AND OTHERS  FILTER  AROUND YOU  ESTD 1931  FIFTH AVENUE NEW YORK   MAN  ARTOENT  PARLIAMENT  FFER  2 OFFER  PARLIAMENT  SMOKING  AQUA BLUE  ORIGINAL RECESSED  KILLS  PARLIAMENT  W  YORK  A UA BLUE  400S  AED 263  USD 7306  WWWDUBAIDUTYFREECOM  PARLIAMENT  PARLIAMENT  PARLIAMENT  PARLIAMENT  PARLIAMEN  ORIGINAL RECESSED FILTER  ORIGINAL RECESSED FILTER  AQUA BLUE  AQUA BLUE  YOU  SERIOUSLY  HARMS  AND  OTHERS  AROUND  ESTD  1931  FIFTH  AVENUE  NEW  AQUA  BLUE  ORIGINAL  AED  263  USD  7306  RECESSED,PARLIAMENT,"AQUA, BLUE, FILTER, ORIGINAL",,6
00P4H00001lkx0TUAQ_Image_Response_a0Z4H00000axbUKUAY,SP  PARLIAMENT  ONE  PARL  FOR OUT  P  P  FOR ADULT  PARLIAMENT  PARLIAMENT  ORIGINAL RECESSED FILTER  ORIGINAL RECESSED FILTER  SILVER BLUE  SILVER BLUE  PLATINUM  ESTD  1931  ESTD  1931  FIFTH AVENUE  NEW YORK  FIFTH AVENUE  NEW YORK  PARLIAMENT  SMOKING  S  SERIOUSLY HARMS  SMOKING  TAR  NICOTINE  YOU AND OTHERS  CARB  S  ILLE  MONOXID  PARLIAMENT  SILVER BLUE  200S  AED 134  USD 3722  WWWDUBAIDUTYFREECOM  ALTAIC  FOR  ADULT  ORIGINAL  FILTER  SILVER  BLUE  FIFTH  AVENUE   NEW  YORK  SERIOUSLY  HARMS  AND  AED  134  USD  3722,PARLIAMENT,"BLUE, FILTER, ONE, ORIGINAL, PLATINUM, SILVER",,8
00PdP000000mvwxUAA_Image_Response_a0Z4H00000axbUPUAY,DUBANDUTYFREECO  LUNA SHUFFLE  SMOKE  SMELL  MARTBORO  CONTROL  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  VISTA  TROPICAL SPLASH  SMOKE  SMELL  CONTROL  MARLBORO  SMOKING  MARLBORO  TROPICAL SPLASH  200S  VISTA  TROPICAL SPLASH  AED 132  USD 3667  WWWDUBAIDUTYFREECOM  ERIOUSLY  HARMS  YOU AND  SMOKING  OTHERS  AROUND  YOU  MARLBORO  KILLS  LUNA  SHUFFLE  SERIOUSLY  AND  TROPICAL  SPLASH  TROPICAL  SPLASH  AED  132  USD  3667,MARLBORO,SHUFFLE,,3
00P4H00001mQ4zuUAC_Image_Response_a0Z4H00000axbUKUAY,SMOKE  SMELL  CONTROL  SMOKING  CARIBORO  SERIOUSLY HAR  YOU AND OTHE  AROUND YOU  VISTA  TROPICAL SPLASH  SMOKE  MARLBORO  SMELL  CONTROL  SMOKING  KILLS  VISTA  TROPICAL SPLASH  SMOKE  SMELL  MANTHORO  SMOKING  ILLS  MARLBORO  ME  TROPICAL  200S  SPECIALS  AED 127  A  USD 3528  WWWDUBAIDUTYFREECOM  AED 127  A  SMOKING CAUSES EARLY DEATH SS SSSS  SS  DOUBLE MIX  DOUBLE ICE  SMOKERS  SMOKING  DIE  SMOKING  SMOKING  KILLS  VOUNGER  KILLS  LAT  SERIOUSLY  YOU  AND  OTHE  AROUND  TROPICAL  SPLASH  AED  127  USD  3528  AED  CAUSES  EARLY  DEATH  SS  SSSS  DOUBLE  MIX  ICE,MARLBORO,MIX,,3
00PdP000003mNdJUAU_Image_Response_a0Z4H00000axbUMUAY,SMOKING  SERIOUSLY  HARMS  MARTHARD  YOU AND  OTHERS  AROUND  YOU  DOUBLE ICE  3  SMOKING  MARLBORO  KILLS  DOUBLE ICE  MARLBORO  DOUBLE ICE  600S  AED 361  USD 10028  WWWDUBAIDUTYFREECOM  MARTH  YOU  OTHERS  AND  DOUBLE  ICE  DOUBLE  ICE  AED  361  USD  10028,MARLBORO,,,2
00PdP000001xxd3UAA_Image_Response_a0Z4H00000axbUSUAY,CM  LM  MY  LABEL  LM  SMOKING  1139917 MYERS  KILLS  FINE TOBACCOS  FINELY CUT  LM  SMOKING  MYERS  KILLS  FINE TOBACCOS  FINELY CUT  LM  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  FINE TOBACCOS  AROUND YOU  FINELY CUT  LM  SMOKING  KILLS  YOU IF CM  LM  BLUE  200S  AED 100  USO 2778  WWWDUBUNDUTYFREECOM  FINE  TOBACCOS  FINELY  CUT  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  AED  100  2778,LM,BLUE,,3
00P4H00001lmLAUUA2_Image_Response_a0Z4H00000axbUKUAY,MARBARO WHITE  SMOKING  KILLS  MARTBARO  SMOKING  KILLS  WHITE  MYALBONG  SMOKING  SERIOUSLY HARMS  CASTRO  YOU AND OTHERS  MALBORO  WHITE  200S  AED 19845  USD 5512  WWWDUBAIDUTYFREECOM  CARBON  TAR 4 MG  MS  SEAL  NICOTINE 03  MONOXIDE 4 N  MARLBORO  SERIOUSLY  HARMS  YOU  AND  OTHERS  AED  19845  USD  5512  TAR  NICOTINE  03  MONOXIDE,MARLBORO,WHITE,,3
00PdP000001yPW3UAM_Image_Response_a0Z4H00000axbUOUAY,100  SMOKING  MARIHORO  KILLS  DOUBLE MIX  MARLBORO  DOUBLE MIX  600S  AED 361  USD 10028  WWWDUBAIDUTYFREECOM  O  MARLBORO  MARLBORO  CONTAINS MENTING  SMART  SEAL  DOUBLE  MIX  DOUBLE  MIX  AED  361  USD  10028  CONTAINS,MARLBORO,MIX,,3
00PdP000003mAubUAE_Image_Response_a0Z4H00000axbUJUAY,TEREA SHOULD NOT BE  GENERATION DEVICES A  TEREA SHOULD NOT BE USED WITH  GENERATION DEVICES ASITMAY DAM  SMOKING  MARLBORO  SMALL J  MARLBORO  SMELL S  1888  MARLBORO  SMELL ET SS  NICOTIN  MARLBORO    MG  O  80  LESS SMELL  SMOKING  MARLBORO  KILLS  EDGE  LESS EMETT    MARLBORO  TAR MG  NICOTINE 04 MG  CARBON  A MG  LESS SMELL  EDGE  ANIMALE  444  SMOKING  MA  KILLS  MARLBORO  EDGE  200S  AED 139  USD 3861  WWWDUBAIDUTYFREECOM  SK FREE AND  3 DUO EARLIER DEVICES  IS ADDICTIVE  NOKING  KILLS  AL  PHILIP MORRIS  SMOKING SERIOUSLY HARMS  AROUND YOU  SMOKING  PHILIP MODDIC  TEREA  GENERATION  SHOULD NOT BE  USED  WITH  DEVICES  DAM  SMELL  LESS  TAR  NICOTINE  04  AED  139  USD  3861  FREE  AND  ADDICTIVE  PHILIP  MORRIS  SERIOUSLY  AROUND  YOU,"MARLBORO, PHILIP MORRIS","DUO, EDGE",,6
00PdP0000021cgRUAQ_Image_Response_a0Z4H00000axbUMUAY,CARTONS  SMOKING  SERIOUSLY HARMS  OOKING  YOU AND OTHERS  AROUND YOU  KILLS  SELECTED PREMIUM TOBACCOS  Q  GLON GPM  KUN  JC  O  AON  O  2  SMOKIR  MOKING  KILLS  KILLS  SELECTED PREMIUM TOBACCOS  CARTONS  C  SMOKING  SMOKING  NIKS  MARLBORO  RED  LECTED PREMIUM  400S  AED 244  USD 6778  WWWDUBAADUTYFREECOM  ACONSISTENT  BMOKING EXPERIENCE  FROM START TO FINISH  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  PREMIUM  TOBACCOS  SELECTED  LECTED  AED  244  USD  6778  FROM START,MARLBORO,RED,,3
00PdP00000071XGUAY_Image_Response_a0Z4H00000axbUQUAY,DAVIDOFF  CIGARETTES      HCAF    THE  UP TO 5  SMART  DIFFERENT FLAVORS  SEAL  SHUFFLE  RANDOM MY FLAVORE  SMOKING  KILLS  SHUFFLE  RANDOM MIX OF FLAVORS  SMOKING  SERIOUSLY HARMS  MARLBORO  FOOD  SHUFFLE MENTHOL  U  200S  S  UFFLE  M MIX OF FLAVORS  RA  AED 132  USD 3607  WWWDUBAIDUTYFREECOM  9  SERIOUSLY HARMS  YOU AND OTHERS  S  DIFFERENT  FLAVORS  RANDOM  MIX  FLAVORS  SERIOUSLY  HARMS  SHUFFLE  MENTHOL  AED  132  USD  3607  YOU  AND  OTHERS,MARLBORO,"MENTHOL, MIX, SHUFFLE",,5
00P4H00001mOscZUAS_Image_Response_a0Z4H00000axbUSUAY,SMOKING  S  MANTHORO  KILLS  FLAVOR MIX  SMOKING  MS  IS HIGHLY  ERS  ADDICTIVE  MAULBARO  U  DONT START  FLAVOR MIX  S  O  MANHBORO  SMOKING  KILLS  1  FLAVOR MIX  SMOKING  KING  IS  MANHBARO  KILLS  MARLBORO  FLAVOR MIX  200S  AED 127  USD 3528  WWWDUBAIDUTYFREECOM  A CONSISTENT TANTE EXPERIENCE  SMART  CONSISTENT TASTE EXPERIENCE  FROM START TO FINISH  SEAL  FROM START TO FINISH  IN A SOFT TOUCH PACK  FIRM FILTER  IN A SOFT TOUCH PACK  ROUND TASTE  FLIPTOPBOX  II  SMOKING  FLAVOR  MIX  HIGHLY  DONT  START  FLAVOR  MIX  AED  127  USD  3528  CONSISTENT  EXPERIENCE  TASTE  FROM  FINISH  PACK  SOFT  TASTE,MARLBORO,"FILTER, MIX, TOUCH",,5
00P4H00001mPywiUAC_Image_Response_a0Z4H00000axbURUAY,TEREA BRONZE  AED 144  USD 4000  IQOS  TEREA  EREZ  BRONZE  BRONZE  WORKSONLY WITH IQOS ILUMA  WORKS ONLY WITH ICOS ILUMA  TEREA  TEREA  BRONZE  BRONZE  WORKS ONLY WITH IQOS ILUMA  WORKS ONLY WITH IQOS ILUMA  TEREA  TEREA  BRONZE  BRONZE  WORKS ONLY WITH IQOS ILUMA  WORKS ONLY WITH IQOS ILUMA  AED  144  USD  4000  ILUMA  WORKS  ONLY  WITH,,,,0
00PdP0000047IAvUAM_Image_Response_a0Z4H00000axbUJUAY,SMOKING CLOGS  THE ARTERIES  AND CAUSES  HEART ATTACKS  AND STROKES  SELECTED PREMIUM TOBACCOS  MIN  SMOKING  SERIOUSLY HARMS  MORE  YOU AND OTHERS  AROUND YOU  SELECTED PREMIUM TOBACCOS  SMOKING  KILLS  SELECTED PREMIUM TOBACCOS  I  MARLBORO  RED  200S  AED 128  USD 3556  WWWDUBAIDUTYFREECOM      MARLBORO  DOSSOM FUSION    MAR  MA  COMPANY  G  MARLBORO  CLOGS  THE  ARTERIES  AND  CAUSES  HEART  ATTACKS  STROKES  SELECTED  PREMIUM  TOBACCOS  SERIOUSLY  HARMS  YOU  OTHERS  AROUND  AED  128  USD  3556,MARLBORO,RED,,3
00P4H00001muqJ3UAI_Image_Response_a0Z4H00000axbUMUAY,SMOKING  CARTONS  SERIOUSLY HARMS  DU  SM  SMOKIN  SEI  H  KILLS  YO  O  GOLD  AR  MONTHURO  R  SMOKING  SERIOUSLY HAR  NG  YOU AND OTH  SLY  AROUND YOU  GOLD  S  ND  CARTONS  RS  ND  MANHARA  SMOKIN  KILLS  MARLBORO  GO  GOLD  400S  AED 244  USD 6778  WWWDUBARDUTYFREECOM  SERIOUSLY  HARMS  YOU  AND  OTH  AROUND  AED  244  USD  6778,MARLBORO,GOLD,,3
00PdP000003lqBBUAY_Image_Response_a0Z4H00000axbUOUAY,THE  G  NICOTINE IN ANY  OFFER  SMOKING  PARLIAMENT  PARLIAMENT  ORIGINAL RECESSED FILTER  SERIOUSLY HARMS  PLATINUM  YOU AND OTHERS  ORIGINAL RECESSED FILTER  PLATINUM  AROUND YOU  ESTD 1931  FIFTH AVENUE NEW YORK  ESTD 1931  FIFTH AVENUE NEW YORK  2 OFFER  SMOKING  PARLIAMENT  SMOKING  SERIOUSLY HARMS  PLATINUM  KILLS  YOU AND OTHERS  ORIGINAL RECESSED FILTER  AROUND YOU  ESTD 1931  FIFTH AVENUE  NEW YORK  2 OFFER  SMOKING  PARLIAMENT  SERIOUSLY HARMS  PARLIAMENT  PLATINUM  ORIGINAL RECESSED FILTER  YOU AND OTHERS  ORIGINAL RECESSED FILTER  AROUND YOU  ESTD 1931  PLATINUM  FIFTH AVENUE  NEW YORK  ESTD  1931  FIFTH AVENUE NEW YORK  OFFER  PARLIAMENT  SMOKING  SMOKING  PLATINUM  S  SERIOUSLY HARMS  KILLS  ORIGINAL RECESSED  S  ANY  ORIGINAL  FILTER  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  FIFTH  AVENUE  NEW  YORK  RECESSED  NEW YORK,PARLIAMENT,"FILTER, ORIGINAL, PLATINUM",,5
00PdP000004FsYtUAK_Image_Response_a0Z4H00000axbUJUAY,MANTHORO  SMOKIN  KILLS  VISTA  BLOSSOM FUSION  MARTBORO  SMOKING  KILLS  VISTA  BLOSSOM FUSION  MARLBORO  VISTA BLOSSOM FUSION  200S  AED 132  USD 3667  SEROOSIY  WWWDUBAIDUTYFREECOM  HARMS  MARLBORN  YOU AND  OTHERS  ROUND  BLOSSOM  FUSION  VISTA  BLOSSOM  FUSION  AED  132  USD  3667  YOU  AND,MARLBORO,,,2
00P4H00001nIysvUAC_Image_Response_a0Z4H00000axbUPUAY,QUALITY TOBACCOS  THE  8 MG  SINCE 1953  E 06 MG  DE 8 MG  LM  BLUE LABEL  LIGGEN MYER  LIFE   CAZ SB  LM IGIAL  MORRIS  BLUELABEL  LM  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  FINE TOBACCOS  AROUND YOU  FINELY CUT  I I M  SMOKING  LM  FINE TOBACCOS  FINELY CUT  BLUE LABEL  200S  AED 100  USD 2778  WWWDUBAIDUTYFREECOM  PHILIP M  LM  SUPREM  28  SMOKING  QUALITY  TOBACCOS  SINCE  1953  BLUE  LABEL  SERIOUSLY  HARMS  YOU  AND  OTHERS  FINE  AROUND  FINELY  CUT  BLUE  LABEL  AED  100  USD  2778  PHILIP,LM,BLUE,,3
00P4H00001mR2muUAC_Image_Response_a0Z4H00000axbUOUAY,SMOKE CONTAINS  BENZENE  NITROSAMINES  FORMALDEHYDE  AND HYDROGEN  CYANIDE  DOUBLE MIX  3  PROTECT  CHILDREN  NG  DONT MAKE  S  THEM BREATHE  MARLIMED  YOUR SMOKE  MARLBORO  MIX  DOUBLE MIX  600S  AED 346  USD 9611  WWWDUBAIDUTYFREECOM  SS SS SS SS  SMOKE  CONTAINS  AND  HYDROGEN  DOUBLE  DONT  MAKE  THEM  BREATHE  YOUR  SMOKE  DOUBLE  MIX  AED  346  USD  9611  SS  SS,MARLBORO,MIX,,3
00PdP000003m72IUAQ_Image_Response_a0Z4H00000axbUQUAY,SMART  SEAL  MARTHARO  SMOKING  SERIOUSLY HARMS  G  YOU AND OTHERS  SIS  AROUND YOU  S  TOUCH  MARLBORO  SILVER BLUE    MARLBORO  ELL  DEAL  SELECT  MARLHOBA  CRAFTED  FOR  LESSIAMELT  MARLBORO  FIRM FILTER  TOBACCOS  SELECTED FINE  TOUCH  AUTHORITY OF PHILIP MORRIS BRANDS SAD NEUCHATEL  MARTHERE  SMOKING  SERIOUSLY HARMS  YOU AND OTHERS  AROUND YOU  MARLBORO  TOUCH  200S  AED 123  USD 3417  WWWDUBAIDUTYFREECOM  AROONDRU  SMOKING  TOUC  KILLS  CRAFTED FOR  SMART  MAR  LESS SMELL  MARLBORO  SEAL  ELECTED FINE TOBACCOS  SMOKING  KILLS  SERIOUSLY  HARMS  YOU  AND  OTHERS  AROUND  SILVER  BLUE  FIRM  FILTER  SELECTED  FINE  AUTHORITY  MORRIS  BRANDS  AED  123  USD  3417  LESS  SMELL  ELECTED,"MARLBORO, PHILIP MORRIS","BLUE, FILTER, SELECT, SILVER, TOUCH",,9
00PdP0000021qprUAA_Image_Response_a0Z4H00000axbUPUAY,SMOKING  BORO  KILLS  FLAVOR MIX  MANHBORO  SMOKING  SMAF  KILLS  SE  FLIPTO  FLAVOR MIX  SMOKING  SERIOUSLY  MARLBORO  A  FLAVOR MIX  FLAVOR MIX  200S  AED 132  USD 3667  WWWDUBAIDUTYFREECOM  FLAVOR  MIX  FLAVOR  MIX  AED  132  USD  3667,MARLBORO,MIX,,3
